Data;Último;Var%
09.01.2023;327.11;-4%
06.01.2023;342.15;1%
05.01.2023;337.67;0%
04.01.2023;336.24;1%
03.01.2023;333.4;0%
02.01.2023;334.26;0%
30.12.2022;333.35;-1%
29.12.2022;335.14;0%
28.12.2022;335.55;0%
27.12.2022;335.65;0%
26.12.2022;336.3;0%
23.12.2022;335.02;0%
22.12.2022;333.66;-2%
21.12.2022;341.31;0%
20.12.2022;342.35;1%
19.12.2022;337.66;2%
16.12.2022;331.75;2%
15.12.2022;326.46;1%
14.12.2022;323.73;-1%
13.12.2022;328.29;2%
12.12.2022;321.12;-1%
09.12.2022;324.02;0%
08.12.2022;324.97;-1%
07.12.2022;328.25;0%
06.12.2022;327.45;4%
05.12.2022;315.26;-1%
02.12.2022;319.71;-5%
01.12.2022;336.61;0%
30.11.2022;336.91;-2%
29.11.2022;344.7;1%
28.11.2022;340.18;0%
25.11.2022;339.68;0%
24.11.2022;339.79;-1%
23.11.2022;344.62;0%
22.11.2022;344.42;-2%
21.11.2022;351.72;1%
18.11.2022;347.25;1%
17.11.2022;343.21;2%
16.11.2022;337.79;0%
15.11.2022;337.54;-3%
14.11.2022;349.23;1%
11.11.2022;345.28;0%
10.11.2022;345.21;1%
09.11.2022;340.37;0%
08.11.2022;340.09;0%
07.11.2022;340.09;-3%
04.11.2022;350.74;0%
03.11.2022;352.44;-1%
02.11.2022;356.76;0%
01.11.2022;356.26;0%
31.10.2022;356.8;-1%
28.10.2022;361.75;0%
27.10.2022;363.11;1%
26.10.2022;358.97;-1%
25.10.2022;363.44;-1%
24.10.2022;366.93;-2%
21.10.2022;376.26;-1%
20.10.2022;379.49;1%
19.10.2022;375.28;-2%
18.10.2022;383.76;-2%
17.10.2022;390.69;2%
14.10.2022;383.21;1%
13.10.2022;379.76;1%
12.10.2022;377.86;0%
11.10.2022;378.63;0%
10.10.2022;378.29;3%
07.10.2022;368.77;0%
06.10.2022;368.31;2%
05.10.2022;360.09;-1%
04.10.2022;361.99;-7%
03.10.2022;388.88;0%
30.09.2022;388.34;4%
29.09.2022;371.78;-5%
28.09.2022;390.01;3%
27.09.2022;378.19;5%
26.09.2022;359.75;4%
23.09.2022;347.02;1%
22.09.2022;342.14;0%
21.09.2022;342.9;6%
20.09.2022;322.42;-2%
19.09.2022;328.14;0%
16.09.2022;328.14;1%
15.09.2022;325.88;2%
14.09.2022;318.13;-7%
13.09.2022;342.74;8%
12.09.2022;318.13;-7%
09.09.2022;343.14;0%
08.09.2022;342.74;0%
07.09.2022;342.32;0%
06.09.2022;342.24;0%
05.09.2022;342.74;0%
02.09.2022;342.74;-1%
01.09.2022;345.31;1%
31.08.2022;342.94;0%
30.08.2022;343.6;0%
29.08.2022;341.98;2%
26.08.2022;334.31;-1%
25.08.2022;337.45;-1%
24.08.2022;342;-4%
23.08.2022;357.08;3%
22.08.2022;347.44;3%
19.08.2022;336.5;0%
18.08.2022;337.02;2%
17.08.2022;331.29;1%
16.08.2022;326.56;1%
15.08.2022;323.91;-3%
12.08.2022;334.7;1%
11.08.2022;332.58;-5%
10.08.2022;349.58;2%
09.08.2022;343.46;-4%
08.08.2022;357.17;1%
05.08.2022;353.36;-1%
04.08.2022;358.25;-3%
03.08.2022;367.83;3%
02.08.2022;355.97;0%
01.08.2022;354.5;-1%
29.07.2022;358.88;-2%
28.07.2022;364.69;-4%
27.07.2022;379.83;2%
26.07.2022;372.52;-1%
25.07.2022;376.66;1%
22.07.2022;374.56;-1%
21.07.2022;380.01;-4%
20.07.2022;394.2;-3%
19.07.2022;407.4;1%
18.07.2022;404;-1%
15.07.2022;409.21;3%
14.07.2022;398.95;2%
13.07.2022;390.89;3%
12.07.2022;379.54;2%
11.07.2022;372.27;0%
08.07.2022;372.11;-4%
07.07.2022;386.35;1%
06.07.2022;381.69;0%
05.07.2022;381.16;2%
04.07.2022;375.16;0%
01.07.2022;374.56;0%
30.06.2022;375.84;-2%
29.06.2022;381.6;4%
28.06.2022;367.25;0%
27.06.2022;366.95;-2%
24.06.2022;373.07;1%
23.06.2022;368.19;2%
22.06.2022;362.07;5%
21.06.2022;345.5;0%
20.06.2022;345.8;0%
17.06.2022;345.3;0%
16.06.2022;344.7;-4%
15.06.2022;359.96;1%
14.06.2022;356.99;5%
13.06.2022;341.34;2%
10.06.2022;333.99;2%
09.06.2022;327.27;2%
08.06.2022;321.56;0%
07.06.2022;320.31;2%
06.06.2022;313.83;1%
03.06.2022;309.6;1%
02.06.2022;307.53;0%
01.06.2022;307.61;1%
31.05.2022;305.5;0%
30.05.2022;304.73;-1%
27.05.2022;306.71;-1%
26.05.2022;311.36;-3%
25.05.2022;321.8;-1%
24.05.2022;323.76;-2%
23.05.2022;330.12;0%
20.05.2022;329.22;0%
19.05.2022;328;2%
18.05.2022;321.48;-1%
17.05.2022;323.27;0%
16.05.2022;322.6;-1%
13.05.2022;326.13;0%
12.05.2022;325.63;0%
11.05.2022;325.63;-1%
10.05.2022;327.6;4%
09.05.2022;316.36;5%
06.05.2022;302.37;0%
05.05.2022;302.37;-2%
04.05.2022;309.82;-1%
03.05.2022;314.22;1%
02.05.2022;311.81;4%
29.04.2022;301.05;-1%
28.04.2022;304.9;-1%
27.04.2022;306.77;2%
26.04.2022;300.3;-1%
25.04.2022;302.04;2%
22.04.2022;296.05;3%
21.04.2022;288.11;-2%
20.04.2022;292.76;-2%
19.04.2022;298.42;1%
18.04.2022;296.28;0%
15.04.2022;297.26;1%
14.04.2022;294.21;-1%
13.04.2022;296.53;-1%
12.04.2022;298.77;2%
11.04.2022;293.26;1%
08.04.2022;289.91;1%
07.04.2022;286.67;1%
06.04.2022;285.15;2%
05.04.2022;280.8;-1%
04.04.2022;282.97;0%
01.04.2022;284.08;1%
31.03.2022;281.72;1%
30.03.2022;279.03;-2%
29.03.2022;286.05;-1%
28.03.2022;290.31;-1%
25.03.2022;292.38;-1%
24.03.2022;294.65;1%
23.03.2022;292.32;-1%
22.03.2022;296.08;5%
21.03.2022;282.7;0%
18.03.2022;282.88;-2%
17.03.2022;288.28;-4%
16.03.2022;300.5;-1%
15.03.2022;304.2;0%
14.03.2022;303.94;2%
11.03.2022;297.59;0%
10.03.2022;297.73;-3%
09.03.2022;306.2;-2%
08.03.2022;311.81;2%
07.03.2022;304.77;2%
04.03.2022;298.68;-2%
03.03.2022;303.69;0%
02.03.2022;304.07;1%
01.03.2022;300.56;0%
28.02.2022;299.18;-2%
25.02.2022;304.64;-2%
24.02.2022;309.29;1%
23.02.2022;305.17;0%
22.02.2022;305.57;0%
21.02.2022;305.35;1%
18.02.2022;302.36;1%
17.02.2022;298.77;-1%
16.02.2022;303.23;-2%
15.02.2022;308.5;0%
14.02.2022;308.15;2%
11.02.2022;303.41;3%
10.02.2022;295.32;-2%
09.02.2022;300.49;0%
08.02.2022;301;0%
07.02.2022;302.07;1%
04.02.2022;298.73;2%
03.02.2022;293.05;-1%
02.02.2022;296.22;-3%
01.02.2022;304.77;-1%
31.01.2022;307.3;0%
28.01.2022;306.41;1%
27.01.2022;304.82;1%
26.01.2022;302.9;0%
25.01.2022;301.73;1%
24.01.2022;298.41;-2%
21.01.2022;305.56;1%
20.01.2022;301.59;-1%
19.01.2022;305.56;1%
18.01.2022;301.28;0%
17.01.2022;301.59;1%
14.01.2022;297.5;3%
13.01.2022;289.2;0%
12.01.2022;289.12;-1%
11.01.2022;292.36;0%
10.01.2022;291.59;0%
07.01.2022;290.69;0%
06.01.2022;290.78;3%
05.01.2022;283.47;1%
04.01.2022;281.55;0%
03.01.2022;282.45;0%
31.12.2021;282.13;-1%
30.12.2021;284.23;0%
29.12.2021;285.01;0%
28.12.2021;285.19;0%
27.12.2021;286.14;-1%
24.12.2021;289.58;0%
23.12.2021;289.3;-2%
22.12.2021;294.86;-1%
21.12.2021;297.44;-2%
20.12.2021;303.38;1%
17.12.2021;301.12;1%
16.12.2021;297.84;0%
15.12.2021;298.61;-1%
14.12.2021;301.09;1%
13.12.2021;298.65;0%
10.12.2021;298.13;0%
09.12.2021;298.24;2%
08.12.2021;291.37;-1%
07.12.2021;295.57;-4%
06.12.2021;309.05;-1%
03.12.2021;313.02;0%
02.12.2021;313.45;-3%
01.12.2021;323.84;-3%
30.11.2021;332.87;0%
29.11.2021;331.89;-3%
26.11.2021;341.68;5%
25.11.2021;324.25;0%
24.11.2021;324.15;1%
23.11.2021;322.36;1%
22.11.2021;319.03;2%
19.11.2021;313.8;0%
18.11.2021;314.34;0%
17.11.2021;315.38;0%
16.11.2021;314.51;1%
15.11.2021;312.73;0%
12.11.2021;311.81;-1%
11.11.2021;314.26;0%
10.11.2021;314.76;2%
09.11.2021;309.65;-1%
08.11.2021;312.76;0%
05.11.2021;311.92;-1%
04.11.2021;315.7;-4%
03.11.2021;327.53;-1%
02.11.2021;329.47;0%
01.11.2021;328.76;1%
29.10.2021;324.39;3%
28.10.2021;314.48;2%
27.10.2021;307.62;0%
26.10.2021;306.42;0%
25.10.2021;305.45;-4%
22.10.2021;319.24;3%
21.10.2021;308.63;5%
20.10.2021;293.57;1%
19.10.2021;291.99;2%
18.10.2021;285.34;1%
15.10.2021;283.79;0%
14.10.2021;283.94;-2%
13.10.2021;290.71;0%
