Data;Último
31/01/2023;113532
30/01/2023;111888
27/01/2023;112502
26/01/2023;114109
25/01/2023;114195
24/01/2023;113028
23/01/2023;111709
20/01/2023;112301
19/01/2023;113006
18/01/2023;112452
17/01/2023;111439
16/01/2023;109213
13/01/2023;110916
12/01/2023;111877
11/01/2023;111763
10/01/2023;110912
09/01/2023;109227
06/01/2023;108836
05/01/2023;107518
04/01/2023;105334
03/01/2023;104166
02/01/2023;106376
29/12/2022;110031
28/12/2022;110237
27/12/2022;108347
26/12/2022;108738
23/12/2022;109698
22/12/2022;107317
21/12/2022;107313
20/12/2022;106979
19/12/2022;104530
16/12/2022;102825
15/12/2022;103738
14/12/2022;103803
13/12/2022;103892
12/12/2022;105264
09/12/2022;107689
08/12/2022;107245
07/12/2022;109361
06/12/2022;109533
05/12/2022;109401
02/12/2022;111924
01/12/2022;110926
30/11/2022;112486
29/11/2022;110910
28/11/2022;108782
25/11/2022;108977
24/11/2022;111831
23/11/2022;108683
22/11/2022;109037
21/11/2022;109748
18/11/2022;108880
17/11/2022;109703
16/11/2022;110243
14/11/2022;113161
11/11/2022;112253
10/11/2022;109775
09/11/2022;113580
08/11/2022;116160
07/11/2022;115342
04/11/2022;118155
03/11/2022;116896
01/11/2022;116929
31/10/2022;116037
28/10/2022;114539
27/10/2022;114641
26/10/2022;112764
25/10/2022;114626
24/10/2022;116013
21/10/2022;119929
20/10/2022;117171
19/10/2022;116274
18/10/2022;115743
17/10/2022;113624
14/10/2022;112072
13/10/2022;114300
11/10/2022;114827
10/10/2022;115941
07/10/2022;116375
06/10/2022;117561
05/10/2022;117198
04/10/2022;116230
03/10/2022;116134
30/09/2022;110037
29/09/2022;107664
28/09/2022;108451
27/09/2022;108376
26/09/2022;109114
23/09/2022;111716
22/09/2022;114070
21/09/2022;111936
20/09/2022;112517
19/09/2022;111824
16/09/2022;109280
15/09/2022;109954
14/09/2022;110547
13/09/2022;110794
12/09/2022;113407
09/09/2022;112300
08/09/2022;109916
06/09/2022;109764
05/09/2022;112203
02/09/2022;110864
01/09/2022;110405
31/08/2022;109523
30/08/2022;110431
29/08/2022;112323
26/08/2022;112299
25/08/2022;113532
24/08/2022;112898
23/08/2022;112857
22/08/2022;110501
19/08/2022;111496
18/08/2022;113813
17/08/2022;113708
16/08/2022;113512
15/08/2022;113032
12/08/2022;112764
11/08/2022;109718
10/08/2022;110236
09/08/2022;108651
08/08/2022;108402
05/08/2022;106472
04/08/2022;105892
03/08/2022;103775
02/08/2022;103362
01/08/2022;102225
29/07/2022;103165
28/07/2022;102597
27/07/2022;101438
26/07/2022;99772
25/07/2022;100270
22/07/2022;98925
21/07/2022;99033
20/07/2022;98287
19/07/2022;98245
18/07/2022;96916
15/07/2022;96551
14/07/2022;96121
13/07/2022;97881
12/07/2022;98271
11/07/2022;98212
08/07/2022;100289
07/07/2022;100730
06/07/2022;98719
05/07/2022;98295
04/07/2022;98609
01/07/2022;98954
30/06/2022;98542
29/06/2022;99622
28/06/2022;100591
27/06/2022;100764
24/06/2022;98672
23/06/2022;98080
22/06/2022;99522
21/06/2022;99685
20/06/2022;99853
17/06/2022;99825
15/06/2022;102807
14/06/2022;102063
13/06/2022;102598
10/06/2022;105481
09/06/2022;107094
08/06/2022;108368
07/06/2022;110070
06/06/2022;110186
03/06/2022;111102
02/06/2022;112393
01/06/2022;111360
31/05/2022;111351
30/05/2022;111032
27/05/2022;111942
26/05/2022;111890
25/05/2022;110580
24/05/2022;110581
23/05/2022;110346
20/05/2022;108488
19/05/2022;107005
18/05/2022;106247
17/05/2022;108789
16/05/2022;108233
13/05/2022;106924
12/05/2022;105688
11/05/2022;104397
10/05/2022;103110
09/05/2022;103250
06/05/2022;105135
05/05/2022;105304
04/05/2022;108344
03/05/2022;106528
02/05/2022;106639
29/04/2022;107876
28/04/2022;109919
27/04/2022;109349
26/04/2022;108213
25/04/2022;110685
22/04/2022;111078
20/04/2022;114344
19/04/2022;115057
18/04/2022;115687
14/04/2022;116182
13/04/2022;116782
12/04/2022;116147
11/04/2022;116953
08/04/2022;118322
07/04/2022;118862
06/04/2022;118228
05/04/2022;118885
04/04/2022;121280
01/04/2022;121570
31/03/2022;119999
30/03/2022;120260
29/03/2022;120014
28/03/2022;118738
25/03/2022;119081
24/03/2022;119053
23/03/2022;117457
22/03/2022;117272
21/03/2022;116155
18/03/2022;115311
17/03/2022;113076
16/03/2022;111112
15/03/2022;108959
14/03/2022;109928
11/03/2022;111713
10/03/2022;113663
09/03/2022;113900
08/03/2022;111203
07/03/2022;111593
04/03/2022;114474
03/03/2022;115166
02/03/2022;115174
25/02/2022;113142
24/02/2022;111592
23/02/2022;112008
22/02/2022;112892
21/02/2022;111725
18/02/2022;112768
17/02/2022;113528
16/02/2022;115181
15/02/2022;114660
14/02/2022;113807
11/02/2022;113572
10/02/2022;113359
09/02/2022;112461
08/02/2022;112234
07/02/2022;111996
04/02/2022;112245
03/02/2022;111696
02/02/2022;112161
01/02/2022;113147
31/01/2022;112388
28/01/2022;111478
27/01/2022;112315
26/01/2022;111573
25/01/2022;109845
24/01/2022;107752
21/01/2022;108942
20/01/2022;109102
19/01/2022;108013
18/01/2022;106522
17/01/2022;106692
14/01/2022;106928
13/01/2022;105530
12/01/2022;105686
11/01/2022;103779
10/01/2022;101945
07/01/2022;102719
06/01/2022;101561
05/01/2022;101006
04/01/2022;103514
03/01/2022;103922
30/12/2021;104822
29/12/2021;104107
28/12/2021;104864
27/12/2021;105531
23/12/2021;104891
22/12/2021;105244
21/12/2021;105500
20/12/2021;105020
17/12/2021;107201
16/12/2021;108212
15/12/2021;107370
14/12/2021;106760
13/12/2021;107383
10/12/2021;107758
09/12/2021;106291
08/12/2021;108096
07/12/2021;107558
06/12/2021;106859
03/12/2021;105070
02/12/2021;104466
01/12/2021;100775
30/11/2021;101915
29/11/2021;102814
26/11/2021;102224
25/11/2021;105811
24/11/2021;104514
23/11/2021;103663
22/11/2021;102122
19/11/2021;103035
18/11/2021;102524
17/11/2021;102945
16/11/2021;104508
12/11/2021;106312
11/11/2021;107725
10/11/2021;105968
09/11/2021;105535
08/11/2021;104781
05/11/2021;104824
04/11/2021;103412
03/11/2021;105617
01/11/2021;105551
29/10/2021;103501
28/10/2021;105705
27/10/2021;106363
26/10/2021;106420
25/10/2021;108715
22/10/2021;106296
21/10/2021;107735
20/10/2021;110786
19/10/2021;110673
18/10/2021;114428
15/10/2021;114648
14/10/2021;113185
13/10/2021;113456
11/10/2021;112180
08/10/2021;112833
07/10/2021;110585
06/10/2021;110560
05/10/2021;110458
04/10/2021;110393
01/10/2021;112900
30/09/2021;110979
29/09/2021;111107
28/09/2021;110124
27/09/2021;113583
24/09/2021;113283
23/09/2021;114064
22/09/2021;112282
21/09/2021;110250
20/09/2021;108844
17/09/2021;111439
16/09/2021;113794
15/09/2021;115063
14/09/2021;116181
13/09/2021;116404
10/09/2021;114286
09/09/2021;115361
08/09/2021;113413
06/09/2021;117869
03/09/2021;116933
02/09/2021;116677
01/09/2021;119396
31/08/2021;118781
30/08/2021;119740
27/08/2021;120678
26/08/2021;118724
25/08/2021;120818
24/08/2021;120211
23/08/2021;117472
20/08/2021;118053
19/08/2021;117165
18/08/2021;116643
17/08/2021;117904
16/08/2021;119180
13/08/2021;121194
12/08/2021;120701
11/08/2021;122056
10/08/2021;122202
09/08/2021;123019
06/08/2021;122810
05/08/2021;121633
04/08/2021;121801
03/08/2021;123577
02/08/2021;122516
30/07/2021;121801
29/07/2021;125675
28/07/2021;126286
27/07/2021;124612
26/07/2021;126004
23/07/2021;125053
22/07/2021;126147
21/07/2021;125929
20/07/2021;125401
19/07/2021;124395
16/07/2021;125960
15/07/2021;127468
14/07/2021;128407
13/07/2021;128168
12/07/2021;127594
08/07/2021;125428
07/07/2021;127019
06/07/2021;125095
05/07/2021;126920
02/07/2021;127622
01/07/2021;125666
30/06/2021;126802
29/06/2021;127327
28/06/2021;127429
25/06/2021;127256
24/06/2021;129514
23/06/2021;128428
22/06/2021;128767
21/06/2021;129265
18/06/2021;128405
17/06/2021;128057
16/06/2021;129259
15/06/2021;130091
14/06/2021;130208
11/06/2021;129441
10/06/2021;130076
09/06/2021;129907
08/06/2021;129787
07/06/2021;130776
04/06/2021;130126
02/06/2021;129601
01/06/2021;128267
31/05/2021;126216
28/05/2021;125561
27/05/2021;124367
26/05/2021;123989
25/05/2021;122988
24/05/2021;124032
21/05/2021;122592
20/05/2021;122701
19/05/2021;122636
18/05/2021;122980
17/05/2021;122938
14/05/2021;121881
13/05/2021;120706
12/05/2021;119710
11/05/2021;122964
10/05/2021;121909
07/05/2021;122038
06/05/2021;119921
05/05/2021;119564
04/05/2021;117712
03/05/2021;119209
30/04/2021;118894
29/04/2021;120066
28/04/2021;121053
27/04/2021;119388
26/04/2021;120595
23/04/2021;120530
22/04/2021;119371
20/04/2021;120062
19/04/2021;120934
16/04/2021;121114
15/04/2021;120701
14/04/2021;120295
13/04/2021;119297
12/04/2021;118812
09/04/2021;117670
08/04/2021;118313
07/04/2021;117624
